Initial Transformation,Threshold,Fitness,Inlier RMSE,Initial Transformation Matrix,Final Transformation Matrix
Random,0.05,0.009866171729999023,0.03192857487943913,"[array([0.5115731 , 0.83853398, 0.18749328, 0.95689453]), array([ 0.80639594, -0.39319819, -0.44172478,  0.4919653 ]), array([-0.29667922,  0.37716833, -0.87734001,  0.26214796]), array([0., 0., 0., 1.])]","[array([0.50271852, 0.83984713, 0.20477035, 0.96543278]), array([ 0.80919074, -0.37385549, -0.45325757,  0.47965906]), array([-0.30411255,  0.39355924, -0.86754059,  0.29557484]), array([0., 0., 0., 1.])]"
Random,0.1,0.02642375696004689,0.06219853048515925,"[array([0.5115731 , 0.83853398, 0.18749328, 0.95689453]), array([ 0.80639594, -0.39319819, -0.44172478,  0.4919653 ]), array([-0.29667922,  0.37716833, -0.87734001,  0.26214796]), array([0., 0., 0., 1.])]","[array([0.48007589, 0.84997745, 0.21694581, 1.03224854]), array([ 0.79932911, -0.32197425, -0.5073515 ,  0.4823068 ]), array([-0.36138637,  0.41697832, -0.83398379,  0.33799437]), array([0., 0., 0., 1.])]"
Random,0.2,0.2873400410276448,0.11932204522801795,"[array([0.5115731 , 0.83853398, 0.18749328, 0.95689453]), array([ 0.80639594, -0.39319819, -0.44172478,  0.4919653 ]), array([-0.29667922,  0.37716833, -0.87734001,  0.26214796]), array([0., 0., 0., 1.])]","[array([ 0.51557502,  0.84012391, -0.16844647,  0.62947764]), array([ 0.85582971, -0.49535068,  0.14894031,  0.28246424]), array([ 0.04168824, -0.22095139, -0.97439344,  0.13006045]), array([0., 0., 0., 1.])]"
Random,0.5,0.5742405001465273,0.2235372936855095,"[array([0.5115731 , 0.83853398, 0.18749328, 0.95689453]), array([ 0.80639594, -0.39319819, -0.44172478,  0.4919653 ]), array([-0.29667922,  0.37716833, -0.87734001,  0.26214796]), array([0., 0., 0., 1.])]","[array([ 0.53167114,  0.79845369, -0.28248451,  0.81006159]), array([ 0.83205367, -0.43012982,  0.35024994,  0.05048874]), array([ 0.15815335, -0.42126006, -0.89304394,  0.05625147]), array([0., 0., 0., 1.])]"
Random,1.0,0.7436260623229461,0.3876749155141811,"[array([0.5115731 , 0.83853398, 0.18749328, 0.95689453]), array([ 0.80639594, -0.39319819, -0.44172478,  0.4919653 ]), array([-0.29667922,  0.37716833, -0.87734001,  0.26214796]), array([0., 0., 0., 1.])]","[array([ 0.48569516,  0.82620005, -0.285471  ,  1.03687075]), array([ 0.8421513 , -0.35474792,  0.40612202,  0.32088779]), array([ 0.23426778, -0.43766127, -0.8680848 ,  0.09931313]), array([0., 0., 0., 1.])]"
RANSAC,0.05,0.9847123180619322,0.013112643314181016,"[array([-0.79422198, -0.56931386, -0.21235154,  0.80934074]), array([-0.60600061,  0.7165915 ,  0.34534024,  0.16434033]), array([-0.04443767,  0.40296197, -0.91413727,  0.06531437]), array([0., 0., 0., 1.])]","[array([-0.78627549, -0.5748775 , -0.2264657 ,  0.84352291]), array([-0.6163195 ,  0.70371458,  0.35346295,  0.23888002]), array([-0.04383068,  0.41749448, -0.90762174,  0.00601855]), array([0., 0., 0., 1.])]"
RANSAC,0.1,0.9975578782846537,0.015169156252878842,"[array([-0.79422198, -0.56931386, -0.21235154,  0.80934074]), array([-0.60600061,  0.7165915 ,  0.34534024,  0.16434033]), array([-0.04443767,  0.40296197, -0.91413727,  0.06531437]), array([0., 0., 0., 1.])]","[array([-0.78630296, -0.57483911, -0.22646777,  0.84352617]), array([-0.61628587,  0.70374272,  0.35346557,  0.23861525]), array([-0.04381079,  0.41749991, -0.90762021,  0.00589062]), array([0., 0., 0., 1.])]"
RANSAC,0.2,0.9995604180912376,0.016226568893962602,"[array([-0.79422198, -0.56931386, -0.21235154,  0.80934074]), array([-0.60600061,  0.7165915 ,  0.34534024,  0.16434033]), array([-0.04443767,  0.40296197, -0.91413727,  0.06531437]), array([0., 0., 0., 1.])]","[array([-0.78630131, -0.57484125, -0.22646805,  0.84361532]), array([-0.61628792,  0.70374111,  0.3534652 ,  0.23853778]), array([-0.0438115 ,  0.41749968, -0.90762028,  0.00585521]), array([0., 0., 0., 1.])]"
RANSAC,0.5,0.9999511575656931,0.01698255214408869,"[array([-0.79422198, -0.56931386, -0.21235154,  0.80934074]), array([-0.60600061,  0.7165915 ,  0.34534024,  0.16434033]), array([-0.04443767,  0.40296197, -0.91413727,  0.06531437]), array([0., 0., 0., 1.])]","[array([-0.78630805, -0.57483078, -0.22647125,  0.84357358]), array([-0.61628016,  0.70375106,  0.35345893,  0.23852307]), array([-0.04379969,  0.41749734, -0.90762193,  0.00582559]), array([0., 0., 0., 1.])]"
RANSAC,1.0,1.0,0.018004399047579063,"[array([-0.79422198, -0.56931386, -0.21235154,  0.80934074]), array([-0.60600061,  0.7165915 ,  0.34534024,  0.16434033]), array([-0.04443767,  0.40296197, -0.91413727,  0.06531437]), array([0., 0., 0., 1.])]","[array([-0.78629805, -0.57484417, -0.22647197,  0.84365905]), array([-0.61629249,  0.70374076,  0.35345793,  0.23861584]), array([-0.04380568,  0.41749625, -0.90762214,  0.00584356]), array([0., 0., 0., 1.])]"
